-0.00419317, -1.29556e-11, -0.0174734, -1.24275e-07, -1.24915e-09, -0.126334, 2.19133e-11, 4.37812e-14, 156.88,-8.89923
-0.00381375, 8.097e-05, -0.0158667, -0.0910411, 0.0180559, -0.225376, -0.000460112, 5.95726e-10, 588.822,-41.8251
-0.00286661, 0.000526713, -0.0102678, -0.214857, 0.0652276, -0.59275, -0.00207413, 4.65368e-08, 895.754,-76.0881
-0.00105265, 0.00117228, -0.000787197, -0.311308, 0.0474374, -0.951009, -0.0047455, 2.48192e-07, 1059.66,-89.3629
0.00175566, 0.000230971, 0.013642, -0.481466, -0.24812, -1.41847, -0.00880488, 4.27143e-09, 1242.94,-47.3173
0.0054704, -0.00399028, 0.0334395, -0.633688, -0.536461, -1.81197, -0.0144877, -2.74537e-06, 1368.56,1.21091
0.00964377, -0.00985023, 0.0572617, -0.748405, -0.604502, -1.95901, -0.021492, -1.75228e-05, 1406.7,19.383
0.0113738, -0.0152606, 0.0831818, -0.804289, -0.459759, -1.75196, -0.0293335, 3.87789e-05, 1341.73,10.4942
0.00496757, -0.018511, 0.109161, -0.807193, -0.187413, -1.14794, -0.0374287, 0.000431607, 1167.46,-13.4845
-0.0114078, -0.0189169, 0.133245, -0.745419, 0.0801091, -0.596264, -0.045147, 0.00156537, 975.623,-44.631
-0.0378254, -0.0163671, 0.156075, -0.717733, 0.436834, -0.624257, -0.0523506, 0.00388273, 945.63,-120.018
-0.0750781, -0.0107581, 0.179773, -0.721158, 0.694667, -1.02029, -0.0594772, 0.00745697, 1021.39,-189.614
-0.125734, -0.00430653, 0.204946, -0.728086, 0.619913, -1.34324, -0.0666993, 0.011844, 1075.09,-190.347
-0.190709, -0.00105421, 0.231064, -0.69991, 0.140438, -1.43364, -0.0738523, 0.0165903, 1069.37,-97.5055
-0.271183, -0.000543815, 0.255635, -0.555578, 0.237724, -1.00849, -0.0801599, 0.0211873, 904.575,-104.567
-0.36944, 0.00183137, 0.273512, -0.309242, 0.0304366, -0.269361, -0.0843944, 0.0250633, 568.304,-36.6567
-0.485335, -0.0028376, 0.284174, -0.139796, -0.819293, 0.0656184, -0.0863798, 0.0275142, 183.122,210.115
-0.600281, -0.00825066, 0.291215, -0.0289883, -0.271885, 0.153905, -0.0870809, 0.0294594, -45.2784,96.6488
-0.701621, -0.0083251, 0.294807, 0.0106223, 0.167254, 0.679442, -0.0870939, 0.0313711, -280.915,-9.73537
-0.789761, -0.007774, 0.296282, 0.0279069, 0.023084, 1.32407, -0.0868709, 0.0331664, -1661,-14.2967
-0.863113, -0.00984798, 0.299784, -0.00570465, 0.158573, 1.74806, -0.087295, 0.0353857, -1805.45,-57.2268
-0.904688, -0.0103239, 0.299204, 0.0581688, -0.435844, 2.37161, -0.0867576, 0.0359885, -2016.09,203.62
-0.897134, -0.0129529, 0.295714, 0.277979, 0.501889, 3.15132, -0.0849646, 0.0323612, -2243.18,-178.004
-0.878793, -0.00955293, 0.286533, 0.385896, 0.963061, 3.47316, -0.0815566, 0.0282852, -2312.71,-383.177
-0.847085, -2.3496e-05, 0.274985, 0.425687, 1.85984, 3.38816, -0.0774194, 0.024185, -2249.77,-781.403
-0.799624, 0.0153988, 0.267029, 0.333632, 1.67132, 1.57005, -0.0739975, 0.0211657, -1790.38,-734.672
-0.739146, 0.0317963, 0.254935, 0.460192, 2.0135, 1.70763, -0.0698543, 0.018333, -1809.53,-907.089
